Mach,Alpha,CD,CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CL,CN,CN Potential,CN Viscous,CNalpha (0 to 4 deg) (per rad),CP,CP (0 to 4 deg),Reynolds Number
0.16,0,0.4252180286114080764256611164,0.425218028611408,0.425218028611408,0.425218028611408,0.425218028611408,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,10831830
0.17,0,0.4238209992180140080333981035,0.423820999218014,0.423820999218014,0.423820999218014,0.423820999218014,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,11508820
0.18,0,0.4225059167151576538493129005,0.422505916715158,0.422505916715158,0.422505916715158,0.422505916715158,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,12185810
0.19,0,0.4212669950888264408282495987,0.421266995088826,0.421266995088826,0.421266995088826,0.421266995088826,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,12862800
0.20,0,0.4200989788303107137823011905,0.420098978830311,0.420098978830311,0.420098978830311,0.420098978830311,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,13539790
0.21,0,0.4189971461271086049079020936,0.418997146127109,0.418997146127109,0.418997146127109,0.418997146127109,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,14216780
0.22,0,0.4179572103169989527187912653,0.417957210316999,0.417957210316999,0.417957210316999,0.417957210316999,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,14893770
0.23,0,0.4169753374938119844890095665,0.416975337493812,0.416975337493812,0.416975337493812,0.416975337493812,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,15570760
0.24,0,0.4160481044066312762529799935,0.416048104406631,0.416048104406631,0.416048104406631,0.416048104406631,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,16247750
0.25,0,0.4151723987185710260989239456,0.415172398718571,0.415172398718571,0.415172398718571,0.415172398718571,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,16924740
0.26,0,0.4144734561482040001123869826,0.414473456148204,0.414473456148204,0.414473456148204,0.414473456148204,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,17601730
0.27,0,0.4138207951197449367554366661,0.413820795119745,0.413820795119745,0.413820795119745,0.413820795119745,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,18278720
0.28,0,0.4132121547294193773847992216,0.413212154729419,0.413212154729419,0.413212154729419,0.413212154729419,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,18955710
0.29,0,0.4126455436351500719113800141,0.41264554363515,0.41264554363515,0.41264554363515,0.41264554363515,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,19632700
0.30,0,0.4121191300535852673723812891,0.412119130053585,0.412119130053585,0.412119130053585,0.412119130053585,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,20309690
0.31,0,0.4116313099748164657141211282,0.411631309974816,0.411631309974816,0.411631309974816,0.411631309974816,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,20986680
0.32,0,0.4114373740832454080023001199,0.411437374083245,0.411437374083245,0.411437374083245,0.411437374083245,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,21663670
0.33,0,0.4117607162611018417695909852,0.411760716261102,0.411760716261102,0.411760716261102,0.411760716261102,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,22340660
0.34,0,0.4120945090078079259022836976,0.412094509007808,0.412094509007808,0.412094509007808,0.412094509007808,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,23017650
0.35,0,0.4124390887026294712540811240,0.41243908870263,0.41243908870263,0.41243908870263,0.41243908870263,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,23694630
0.36,0,0.4127947482563625613655933930,0.412794748256363,0.412794748256363,0.412794748256363,0.412794748256363,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,24371630
0.37,0,0.4131618940518950162154969998,0.413161894051895,0.413161894051895,0.413161894051895,0.413161894051895,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,25048610
0.38,0,0.4135408490036230146190094660,0.413540849003623,0.413540849003623,0.413540849003623,0.413540849003623,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,25725600
0.39,0,0.4139320594980098350473962348,0.41393205949801,0.41393205949801,0.41393205949801,0.41393205949801,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,26402590
0.40,0,0.4143359084530039082945908209,0.414335908453004,0.414335908453004,0.414335908453004,0.414335908453004,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,27079580
0.41,0,0.4147528738910256884230656935,0.414752873891026,0.414752873891026,0.414752873891026,0.414752873891026,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,27756570
0.42,0,0.4151834438362471549056651194,0.415183443836247,0.415183443836247,0.415183443836247,0.415183443836247,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,28433560
0.43,0,0.4156281212118575625045381856,0.415628121211858,0.415628121211858,0.415628121211858,0.415628121211858,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,29110550
0.44,0,0.4160874624130614465536089242,0.416087462413061,0.416087462413061,0.416087462413061,0.416087462413061,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,29787540
0.45,0,0.4165620403664912297618920430,0.416562040366491,0.416562040366491,0.416562040366491,0.416562040366491,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,30464530
0.46,0,0.4170524914707660354390643128,0.417052491470766,0.417052491470766,0.417052491470766,0.417052491470766,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,31141520
0.47,0,0.4175594786559162288714152405,0.417559478655916,0.417559478655916,0.417559478655916,0.417559478655916,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,31818510
0.48,0,0.4180837383239346917845716163,0.418083738323935,0.418083738323935,0.418083738323935,0.418083738323935,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,32495500
0.49,0,0.4186259934082046116778585553,0.418625993408205,0.418625993408205,0.418625993408205,0.418625993408205,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,33172490
0.50,0,0.4191871203140509988970144481,0.419187120314051,0.419187120314051,0.419187120314051,0.419187120314051,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,33849480
0.51,0,0.4197679519781650904055028622,0.419767951978165,0.419767951978165,0.419767951978165,0.419767951978165,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,34526470
0.52,0,0.4203694948091648032889326831,0.420369494809165,0.420369494809165,0.420369494809165,0.420369494809165,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,35203460
0.53,0,0.4209927217470072691523093529,0.420992721747007,0.420992721747007,0.420992721747007,0.420992721747007,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,35880440
0.54,0,0.4216387692035568987933663428,0.421638769203557,0.421638769203557,0.421638769203557,0.421638769203557,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,36557440
0.55,0,0.4223088001220001145047104425,0.422308800122,0.422308800122,0.422308800122,0.422308800122,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,37234430
0.56,0,0.4230041409174077588731455503,0.423004140917408,0.423004140917408,0.423004140917408,0.423004140917408,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,37911420
0.57,0,0.4237261345361511921513891746,0.423726134536151,0.423726134536151,0.423726134536151,0.423726134536151,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,38588400
0.58,0,0.4244763373964676991983259753,0.424476337396468,0.424476337396468,0.424476337396468,0.424476337396468,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,39265390
0.59,0,0.4252563624478759242193273354,0.425256362447876,0.425256362447876,0.425256362447876,0.425256362447876,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,39942380
0.60,0,0.4260679977441661272751713842,0.426067997744166,0.426067997744166,0.426067997744166,0.426067997744166,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,40619380
0.61,0,0.4271448831527189656535641856,0.427144883152719,0.427144883152719,0.427144883152719,0.427144883152719,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,41296360
0.62,0,0.4282491293057586714823177261,0.428249129305759,0.428249129305759,0.428249129305759,0.428249129305759,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,41973350
0.63,0,0.4293914147715927757078346097,0.429391414771593,0.429391414771593,0.429391414771593,0.429391414771593,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,42650340
0.64,0,0.4305742892425769940787680368,0.430574289242577,0.430574289242577,0.430574289242577,0.430574289242577,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,43327330
0.65,0,0.4318006107801481904081051245,0.431800610780148,0.431800610780148,0.431800610780148,0.431800610780148,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,44004320
0.66,0,0.4330734423445304011618021245,0.43307344234453,0.43307344234453,0.43307344234453,0.43307344234453,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,44681310
0.67,0,0.4343962420001510567884615200,0.434396242000151,0.434396242000151,0.434396242000151,0.434396242000151,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,45358300
0.68,0,0.4357728578129208314765069040,0.435772857812921,0.435772857812921,0.435772857812921,0.435772857812921,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,46035290
0.69,0,0.4372074927475099697436699455,0.43720749274751,0.43720749274751,0.43720749274751,0.43720749274751,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,46712280
0.70,0,0.4387049332403341797354094482,0.438704933240334,0.438704933240334,0.438704933240334,0.438704933240334,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,47389270
0.71,0,0.4387076222589821075432174968,0.438707622258982,0.438707622258982,0.438707622258982,0.438707622258982,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,48066260
0.72,0,0.4386144278751988225874412008,0.438614427875199,0.438614427875199,0.438614427875199,0.438614427875199,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,48743250
0.73,0,0.4385213181621681476961193783,0.438521318162168,0.438521318162168,0.438521318162168,0.438521318162168,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,49420240
0.74,0,0.4384282860917841300564975413,0.438428286091784,0.438428286091784,0.438428286091784,0.438428286091784,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,50097230
0.75,0,0.4383353297400759563664197804,0.438335329740076,0.438335329740076,0.438335329740076,0.438335329740076,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,50774220
0.76,0,0.4382424871844832293702994158,0.438242487184483,0.438242487184483,0.438242487184483,0.438242487184483,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,51451210
0.77,0,0.4381497114011300241376474210,0.43814971140113,0.43814971140113,0.43814971140113,0.43814971140113,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,52128200
0.78,0,0.4380570104702485105509575879,0.438057010470248,0.438057010470248,0.438057010470248,0.438057010470248,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,52805180
0.79,0,0.4379644124734555551044710372,0.437964412473456,0.437964412473456,0.437964412473456,0.437964412473456,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,53482180
0.80,0,0.4378718903910278272362209574,0.437871890391028,0.437871890391028,0.437871890391028,0.437871890391028,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,54159160
0.81,0,0.4415935123073232891095979989,0.441593512307323,0.441593512307323,0.441593512307323,0.441593512307323,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,54836160
0.82,0,0.4453152363080590574763343628,0.445315236308059,0.445315236308059,0.445315236308059,0.445315236308059,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,55513140
0.83,0,0.4490370153775892981387750300,0.449037015377589,0.449037015377589,0.449037015377589,0.449037015377589,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,56190130
0.84,0,0.4527589059718930419439133277,0.452758905971893,0.452758905971893,0.452758905971893,0.452758905971893,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,56867120
0.85,0,0.4564808310780003990374774975,0.456480831078,0.456480831078,0.456480831078,0.456480831078,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,57544120
0.86,0,0.4602028887869788395844691391,0.460202888786979,0.460202888786979,0.460202888786979,0.460202888786979,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,58221100
0.87,0,0.4639250288236429515361896021,0.463925028823643,0.463925028823643,0.463925028823643,0.463925028823643,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,58898090
0.88,0,0.4676472692816893887579358027,0.467647269281689,0.467647269281689,0.467647269281689,0.467647269281689,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,59575080
0.89,0,0.4713694731533999300759928291,0.4713694731534,0.4713694731534,0.4713694731534,0.4713694731534,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,60252070
0.90,0,0.4750918769026379818858940821,0.475091876902638,0.475091876902638,0.475091876902638,0.475091876902638,0,0,0,0,7.99486269042327,79.100256562049260546375462565,79.100256562049260546375462565,60929060
0.91,0,0.478322501665576,0.478322501665576,0.478322501665576,0.478322501665576,0.478322501665576,0,0,0,0,8.27584461192524,79.5730526662489,79.3635892264941,61606050
0.92,0,0.48801437595439,0.48801437595439,0.48801437595439,0.48801437595439,0.48801437595439,0,0,0,0,8.55682653342722,80.0458487704485,79.626921890939,62283040
0.93,0,0.50495669230717,0.50495669230717,0.50495669230717,0.50495669230717,0.50495669230717,0,0,0,0,8.8378084549292,80.5186448746481,79.8902545553839,62960030
0.94,0,0.52430351357951,0.52430351357951,0.52430351357951,0.52430351357951,0.52430351357951,0,0,0,0,9.11879037643117,80.9914409788476,80.1535872198287,63637020
0.95,0,0.54365033485185,0.54365033485185,0.54365033485185,0.54365033485185,0.54365033485185,0,0,0,0,9.39977229793315,81.4642370830473,80.4169198842736,64314010
0.96,0,0.56299715612419,0.56299715612419,0.56299715612419,0.56299715612419,0.56299715612419,0,0,0,0,9.68075421943513,81.9370331872469,80.6802525487185,64991000
0.97,0,0.58234397739653,0.58234397739653,0.58234397739653,0.58234397739653,0.58234397739653,0,0,0,0,9.9617361409371,82.4098292914465,80.9435852131634,65667990
0.98,0,0.60169079866887,0.601690798668871,0.601690798668871,0.601690798668871,0.601690798668871,0,0,0,0,10.2427180624391,82.8826253956461,81.2069178776082,66344980
0.99,0,0.621037619941211,0.621037619941211,0.621037619941211,0.621037619941211,0.621037619941211,0,0,0,0,10.5236999839411,83.3554214998457,81.4702505420531,67021970
1.00,0,0.640384441213551,0.640384441213551,0.640384441213551,0.640384441213551,0.640384441213551,0,0,0,0,10.804681905443,83.8282176040453,81.733583206498,67698960
1.01,0,0.659731262485891,0.659731262485891,0.659731262485891,0.659731262485891,0.659731262485891,0,0,0,0,11.085663826945,84.3010137082449,81.9969158709428,68375940
1.02,0,0.679078083758231,0.679078083758232,0.679078083758232,0.679078083758232,0.679078083758232,0,0,0,0,11.366645748447,84.7738098124445,82.2602485353877,69052940
1.03,0,0.698424905030571,0.698424905030572,0.698424905030572,0.698424905030572,0.698424905030572,0,0,0,0,11.647627669949,85.2466059166441,82.5235811998326,69729920
1.04,0,0.717771726302911,0.717771726302912,0.717771726302912,0.717771726302912,0.717771726302912,0,0,0,0,11.9286095914509,85.7194020208437,82.7869138642774,70406910
1.05,0,0.7371185475752515373294756928,0.737118547575252,0.737118547575252,0.737118547575252,0.737118547575252,0,0,0,0,12.209591512952913395761015419,86.19219812504328195112208525,83.0502465287222973446156773,71083900
1.06,0,0.7338340296191870741363843913,0.733834029619187,0.733834029619187,0.733834029619187,0.733834029619187,0,0,0,0,12.280614131212023395761015418,86.22054818077088429184499867,83.09343170821785068943239637,71760890
1.07,0,0.7305902967488389764282788726,0.730590296748839,0.730590296748839,0.730590296748839,0.730590296748839,0,0,0,0,12.359043630545613395761015419,86.27923456824872462116670921,83.16510111145985657503922495,72437890
1.08,0,0.7273869379438955290700511578,0.727386937943896,0.727386937943896,0.727386937943896,0.727386937943896,0,0,0,0,12.440019310261613395761015419,86.35326718590305506390075893,83.25080522161093607712731511,73114870
1.09,0,0.7242229129564513200931423679,0.724222912956451,0.724222912956451,0.724222912956451,0.724222912956451,0,0,0,0,12.518563703242873395761015419,86.42878648687791821761617624,83.33707314274154188659179636,73791860
1.10,0,0.7210976047309285620382162949,0.721097604730929,0.721097604730929,0.721097604730929,0.721097604730929,0,0,0,0,12.59448439593085339576101542,86.50391575260093597597726685,83.42221988130124249689481676,74468860
1.11,0,0.7180105033292559029650200961,0.718010503329256,0.718010503329256,0.718010503329256,0.718010503329256,0,0,0,0,12.667764935113743395761015418,86.57777559730439544784369826,83.50548174028003268666865595,75145840
1.12,0,0.7149606698380880232539266858,0.714960669838088,0.714960669838088,0.714960669838088,0.714960669838088,0,0,0,0,12.738483239223983395761015419,86.649876708189131948227509,83.58646011794968621113816296,75822830
1.13,0,0.7119478188312138172212248248,0.711947818831214,0.711947818831214,0.711947818831214,0.711947818831214,0,0,0,0,12.806762691915933395761015418,86.71992098860294856843888143,83.66493400604465009979517144,76499820
1.14,0,0.7089710307601614586994665481,0.708971030760162,0.708971030760162,0.708971030760162,0.708971030760162,0,0,0,0,12.872745662550913395761015419,86.78777982944943322670515948,83.7408348456625081482447812,77176810
1.15,0,0.7060299979157262691468692417,0.706029997915726,0.706029997915726,0.706029997915726,0.706029997915726,0,0,0,0,12.933334185301993395761015419,86.84833437654623480992389075,83.80889789165694716456167044,77853800
1.16,0,0.7029079573865139755673856070,0.702907957386514,0.702907957386514,0.702907957386514,0.702907957386514,0,0,0,0,12.989927914691663395761015418,86.90358066910477743433472421,83.87124071207515163138576104,78530780
1.17,0,0.6998133035543302113488071416,0.69981330355433,0.69981330355433,0.69981330355433,0.69981330355433,0,0,0,0,13.044783355724333395761015419,86.95722167555478905471726636,83.93169135923165057764013917,79207780
1.18,0,0.6967536972664218186077330618,0.696753697266422,0.696753697266422,0.696753697266422,0.696753697266422,0,0,0,0,13.078894822949433395761015419,86.9788439119143116346394893,83.95881571407306381782051373,79884770
1.19,0,0.6934950519410680748926400651,0.693495051941068,0.693495051941068,0.693495051941068,0.693495051941068,0,0,0,0,13.06855215278176339576101542,86.93073654277202584492597041,83.91363743144857861877521835,80561760
1.20,0,0.6896628403814745427120156513,0.689662840381474,0.689662840381474,0.689662840381474,0.689662840381474,0,0,0,0,13.058035807301978395761015418,86.88342844808014876978872442,83.86913452780149849067753257,81238750
1.21,0,0.6858902048198919864771761462,0.685890204819892,0.685890204819892,0.685890204819892,0.685890204819892,0,0,0,0,13.047338383647869395761015418,86.83689461522145621606323226,83.82528286432616942523247846,81915740
1.22,0,0.6825689953323323653157554725,0.682568995332332,0.682568995332332,0.682568995332332,0.682568995332332,0,0,0,0,13.03645643408770039576101542,86.79086198757394461014688633,83.7818386634709442973107254,82592730
1.23,0,0.6795718624498366203286621336,0.679571862449837,0.679571862449837,0.679571862449837,0.679571862449837,0,0,0,0,13.025389767752570395761015419,86.74552103509930132393295205,83.73897109632543295464918717,83269720
1.24,0,0.6768176983278257708320281073,0.676817698327826,0.676817698327826,0.676817698327826,0.676817698327826,0,0,0,0,13.014140416459385395761015419,86.70062860063145213316040836,83.6964642846592834869577346,83946700
1.25,0,0.6742741583245805779852983230,0.674274158324581,0.674274158324581,0.674274158324581,0.674274158324581,0,0.00000,0.00000,0,13.002711736018836395761015419,86.65613099350523946661717634,83.65427115190051159802835967,84623700
1.26,0,0.6719224194743649010731080062,0.671922419474365,0.671922419474365,0.671922419474365,0.671922419474365,0,0,0,0,12.991107931036178395761015419,86.61216008155035805980290606,83.6125097505624711843175241,85300690
1.27,0,0.6697500473172191902080799772,0.669750047317219,0.669750047317219,0.669750047317219,0.669750047317219,0,0,0,0,12.979334356036884395761015419,86.56849950534422383935718243,83.57098887967130693886924203,85977670
1.28,0,0.6677480142219830579576702469,0.667748014221983,0.667748014221983,0.667748014221983,0.667748014221983,0,0,0,0,12.967395805988306395761015419,86.52529184693123831105534571,83.52983623465602073645990639,86654660
1.29,0,0.6659094987900609045411179237,0.665909498790061,0.665909498790061,0.665909498790061,0.665909498790061,0,0,0,0,12.95529783883674539576101542,86.48233141077322121762210559,83.48887019097094234215628194,87331650
1.30,0,0.6642292359489533065497300332,0.664229235948953,0.664229235948953,0.664229235948953,0.664229235948953,0,0,0,0,12.943045554888376395761015419,86.43968033042781257868600414,83.44814702804549777210755618,88008640
1.31,0,0.6627027109286008159832894158,0.662702710928601,0.662702710928601,0.662702710928601,0.662702710928601,0,0,0,0,12.93064472332354639576101542,86.39740470315413254892039638,83.40772667082533229466013115,88685630
1.32,0,0.6613265114684977129225848979,0.661326511468498,0.661326511468498,0.661326511468498,0.661326511468498,0,0,0,0,12.918101285388931395761015419,86.35539771045748581669830925,83.36751547816178041466365867,89362620
1.33,0,0.6600977214078125759346828947,0.660097721407813,0.660097721407813,0.660097721407813,0.660097721407813,0,0,0,0,12.905419190749380395761015419,86.31363947918729291169162753,83.32749660206263383034949645,90039620
1.34,0,0.6590137422275291163092777997,0.659013742227529,0.659013742227529,0.659013742227529,0.659013742227529,0,0,0,0,12.892604747106841395761015419,86.27211689324781922371478851,83.28765974615346241873402441,90716600
1.35,0,0.6580724512737683630043331732,0.658072451273768,0.658072451273768,0.658072451273768,0.658072451273768,0,0,0,0,12.879661257588034395761015419,86.23090020932144450052284533,83.24806794185636149907964119,91393590
1.36,0,0.6572720766955312653921897795,0.657272076695531,0.657272076695531,0.657272076695531,0.657272076695531,0,0,0,0,12.866594149966358395761015419,86.18980403851627562766397546,83.20855774320090126284720193,92070580
1.37,0,0.6566109815137282327646245967,0.656610981513728,0.656610981513728,0.656610981513728,0.656610981513728,0,0,0,0,12.853408043105382395761015419,86.14907872394888821438328108,83.16935234762722003989825187,92747570
1.38,0,0.6560877988730000683666545199,0.656087798873,0.656087798873,0.656087798873,0.656087798873,0,0,0,0,12.840106405530828395761015419,86.10845031520645204281900287,83.13020927736720903427136697,93424560
1.39,0,0.6557013663350553132987915939,0.655701366335055,0.655701366335055,0.655701366335055,0.655701366335055,0,0,0,0,12.826693516559313395761015419,86.0680849167784640245052965,83.09127685027034704583336694,94101550
1.40,0,0.6554505969440786751264021884,0.655450596944079,0.655450596944079,0.655450596944079,0.655450596944079,0,0,0,0,12.813172677654337395761015419,86.02797244746149736377759707,83.0525467615437555803967149,94778540
1.41,0,0.6553346183604175591246834705,0.655334618360418,0.655334618360418,0.655334618360418,0.655334618360418,0,0,0,0,12.799547721188996395761015418,85.98801776786032994508759605,83.01393537749075280102394165,95455530
1.42,0,0.6553526035086877085050984526,0.655352603508688,0.655352603508688,0.655352603508688,0.655352603508688,0,0,0,0,12.785822583463052395761015419,85.9482152071256415859677449,82.97543849122592697814857672,96132510
1.43,0,0.6555038582233469469378083255,0.655503858223347,0.655503858223347,0.655503858223347,0.655503858223347,0,0,0,0,12.771999287702296395761015419,85.9086420510950634331990499,82.93712502490575096476764586,96809500
1.44,0,0.6557877698781746247866594154,0.655787769878175,0.655787769878175,0.655787769878175,0.655787769878175,0,0,0,0,12.754655934804712330601970657,85.86929337561022582684772367,82.9052380052888333051189619,97486500
1.45,0,0.6562038133384604414708962716,0.65620381333846,0.65620381333846,0.65620381333846,0.65620381333846,0,0,0,0,12.735326428780519158822742086,85.83007491932949635915826068,82.8768985931184686426975537,98163490
